taxon_id,name,obs_count
48685,Typha latifolia,174
59773,Lonicera morrowii,174
78090,Mollugo verticillata,173
54797,Gleditsia triacanthos,171
53211,Senecio vulgaris,169
56171,Leonurus cardiaca,168
204173,Hylodesmum nudiflorum,166
57131,Lilium canadense,165
131249,Persicaria perfoliata,164
55721,Silene vulgaris,162
127609,Rhodotypos scandens,162
76745,Dulichium arundinaceum,161
78387,Peltandra virginica,161
120181,Oclemena acuminata,161
1351707,Tiarella stolonifera,160
51606,Galanthus nivalis,159
82097,Potentilla simplex,159
75867,Brasenia schreberi,158
76005,Cardamine pensylvanica,157
163550,Hedwigia ciliata,157
58961,Plantago major,156
170203,Viburnum plicatum,155
82515,Pyrola elliptica,154
204420,Strophostyles helvola,154
54840,Populus tremuloides,153
119793,Pyrus calleryana,153
54037,Thuja occidentalis,151
61009,Lathyrus latifolius,151
82300,Rhododendron viscosum,151
81942,Penstemon digitalis,150
67983,Diervilla lonicera,149
126768,Pycnanthemum muticum,148
116329,Packera aurea,145
208963,Vincetoxicum nigrum,144
51435,Trillium undulatum,143
54770,Corylus americana,143
54787,Carya cordiformis,142
129505,Desmodium canadense,142
163870,Hydrocotyle americana,142
116735,Rudbeckia laciniata,141
56126,Barbarea vulgaris,140
64543,Prunus maritima,139
67555,Codium fragile,139
68884,Phlox subulata,139
154524,Smilax herbacea,139
802714,Aphyllon uniflorum,139
145367,Hypericum gentianoides,138
53794,Clintonia borealis,137
67820,Erigeron philadelphicus,137
78820,Ranunculus bulbosus,137
129324,Dioscorea villosa,137
77914,Lycopodium clavatum,136
144193,Ionactis linariifolia,135
169738,Thuidium delicatulum,135
84542,Vaccinium angustifolium,134
61323,Conocephalum salebrosum,132
82302,Rosa palustris,132
170095,Uvularia perfoliata,132
59991,Comandra umbellata,130
79067,Setaria faberi,130
54835,Prunus virginiana,129
164342,Kalopanax septemlobus,129
204164,Nuphar variegata,129
53107,Lactuca serriola,128
132224,Lysimachia clethroides,128
59549,Lupinus polyphyllus,127
75609,Asplenium trichomanes,127
82564,Dryopteris carthusiana,127
128620,Hackelia virginiana,127
79017,Scutellaria lateriflora,126
122249,Symphyotrichum lateriflorum,126
124552,Potentilla argentea,126
130998,Ludwigia alternifolia,126
52673,Equisetum hyemale,125
55021,Arabidopsis thaliana,125
49870,Actaea rubra,122
53547,Ulmus americana,122
119792,Paulownia tomentosa,122
120579,Gentiana clausa,122
145435,Epilobium coloratum,122
167010,Plantago rugelii,121
544286,Viola eriocarpa,121
82552,Deparia acrostichoides,119
772903,Sporobolus alterniflorus,119
79301,Symphyotrichum lanceolatum,118
129021,Cryptotaenia canadensis,118
60125,Cicuta maculata,117
84330,Caulophyllum thalictroides,117
